"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Fulton, JayFulton, J.SWA",2,1,80,1,0,0,0,0,33,18,2,1,0,4,0,1,0,0,0,0,0,0
"Gabbidon, DannyGabbidon, D.CP",23,22,1974,0,0,0,1,0,798,321,109,25,0,12,4,10,0,0,1,0,1,3
"Gallagher, SamGallagher, S.SHN",18,3,383,0,0,2,1,0,161,52,15,2,0,3,4,7,0,0,1,0,4,9
"Garbutt, LukeGarbutt, L.EVE",1,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
"García, JaviGarcía, J.MCY",29,14,1527,7,0,0,2,1,1049,737,109,4,0,12,11,18,0,0,0,0,5,10
"Gardner, CraigGardner, C.SUN",18,7,764,5,0,1,17,2,380,178,45,8,0,9,7,11,1,1,2,2,6,21
"Garrido, JavierGarrido, J.NC",6,6,516,2,0,1,18,0,311,153,19,7,0,5,2,7,0,0,0,0,0,0
"Garvan, OwenGarvan, O.CP",2,1,93,0,0,0,2,1,47,31,4,0,0,2,0,0,0,0,0,0,0,1
"Gayle, DwightGayle, D.CP",23,8,882,1,0,2,11,0,275,98,12,1,0,2,17,9,1,1,7,0,10,28
"Gazzaniga, PauloGazzaniga, P.SHN",8,7,662,0,0,0,0,0,287,103,21,1,0,0,1,0,0,0,0,0,0,0
"Gedo, MohamedGedo, M.HUL",2,0,30,0,0,0,1,0,20,13,0,0,0,0,0,1,0,0,0,0,0,1
"Gera, ZoltanGera, Z.WBA",14,5,483,1,0,0,12,6,250,124,14,4,0,5,8,8,0,0,0,1,4,9
"Gerrard, StevenGerrard, S.LIV",34,33,2900,7,0,1,94,99,2591,1665,240,32,0,24,22,36,10,11,13,14,31,59
"Gestede, RudyGestede, R.CC",3,0,49,0,0,0,0,0,24,8,2,0,0,0,1,0,0,0,0,0,0,1
"Giaccherini, EmanueleGiaccherini, E.SUN",24,16,1355,4,0,11,46,20,658,299,38,8,0,7,24,11,0,0,4,4,8,35
"Gibbs, KieranGibbs, K.ARS",28,24,2055,2,1,0,74,0,1670,854,165,34,0,14,11,19,0,0,0,1,2,8
"Gibson, DarronGibson, D.EVE",1,0,27,0,0,0,0,0,13,8,2,0,0,0,1,1,0,0,0,0,0,0
